,artist,album,track_name,popularity,img_url,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,text_data
135,Pritam,Tum Mile (Original Motion Picture Soundtrack),Tu Hi Haqeeqat,64,https://i.scdn.co/image/ab67616d0000b273bcb8ec035de7b2dda0f74660,0.705,0.744,4,-5.416,0,0.0341,0.0,0.2,0.706,115.959,Tu Hi Haqeeqat Pritam Tum Mile (Original Motion Picture Soundtrack)
136,Mohit Chauhan,Rang Lageya,Rang Lageya,63,https://i.scdn.co/image/ab67616d0000b273f6429dd1d2b1cc114020ec3c,0.651,0.503,4,-8.729,1,0.0261,0.0,0.469,0.58,108.014,Rang Lageya Mohit Chauhan Rang Lageya
137,Amaal Mallik,"Chale Aana (From ""De De Pyaar De"")","Chale Aana (From ""De De Pyaar De"")",63,https://i.scdn.co/image/ab67616d0000b2737d8baa691435a7588fe4ab57,0.368,0.587,6,-6.676,0,0.0378,0.0,0.149,0.391,143.687,"Chale Aana (From ""De De Pyaar De"") Amaal Mallik Chale Aana (From ""De De Pyaar De"")"
138,Pritam,Yeh Jawaani Hai Deewani,Balam Pichkari,63,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,0.732,0.944,0,-4.115,1,0.09,0.0,0.401,0.957,120.02,Balam Pichkari Pritam Yeh Jawaani Hai Deewani
139,Tanishk Bagchi,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Bolna (From ""Kapoor & Sons (Since 1921)"")",63,https://i.scdn.co/image/ab67616d0000b273f03c4d5b0c0669c7e14dfb24,0.488,0.403,5,-7.005,1,0.0272,4.28e-06,0.434,0.497,131.489,"Bolna (From ""Kapoor & Sons (Since 1921)"") Tanishk Bagchi Bolna (From ""Kapoor & Sons (Since 1921)"")"
140,Various Artists,Raabta,Ik Vaari Aa,63,https://i.scdn.co/image/ab67616d0000b2732e44757f6ea4eb34d2a0d42f,0.512,0.752,4,-4.857,0,0.0534,0.0,0.708,0.428,127.965,Ik Vaari Aa Various Artists Raabta
141,Pritam,Jab We Met,Ye Ishq Hai,63,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,0.823,0.638,5,-7.126,0,0.159,2.09e-06,0.255,0.882,118.045,Ye Ishq Hai Pritam Jab We Met
142,Amaal Mallik,Roy,Sooraj Dooba Hain,63,https://i.scdn.co/image/ab67616d0000b273f6371011af4c82fb31d54820,0.616,0.75,2,-4.629,1,0.0594,0.0,0.137,0.434,128.051,Sooraj Dooba Hain Amaal Mallik Roy
143,Yash Narvekar,"Muqabla (From ""Street Dancer 3D"")","Muqabla (From ""Street Dancer 3D"")",63,https://i.scdn.co/image/ab67616d0000b273f57f022d8751d518b3dc5f40,0.804,0.913,0,-3.135,1,0.0933,2.84e-05,0.391,0.544,119.993,"Muqabla (From ""Street Dancer 3D"") Yash Narvekar Muqabla (From ""Street Dancer 3D"")"
144,Guru Randhawa,Naach Meri Rani,Naach Meri Rani,63,https://i.scdn.co/image/ab67616d0000b273dda454f42377da49afb85551,0.676,0.488,1,-5.091,1,0.154,0.0,0.0707,0.151,97.036,Naach Meri Rani Guru Randhawa Naach Meri Rani
145,Pritam,Murder 3 (Original Motion Picture Soundtrack),Teri Jhuki Nazar,63,https://i.scdn.co/image/ab67616d0000b2737e25e913e1df98dbec43e4a2,0.386,0.815,11,-3.395,1,0.0417,0.0,0.159,0.349,124.293,Teri Jhuki Nazar Pritam Murder 3 (Original Motion Picture Soundtrack)
146,Amaal Mallik,Roy,Tu Hai Ki Nahi,63,https://i.scdn.co/image/ab67616d0000b273f6371011af4c82fb31d54820,0.535,0.754,10,-4.77,0,0.0562,1.6e-06,0.302,0.435,143.862,Tu Hai Ki Nahi Amaal Mallik Roy
147,Various Artists,Raabta,Darasal,63,https://i.scdn.co/image/ab67616d0000b2732e44757f6ea4eb34d2a0d42f,0.705,0.422,0,-7.375,1,0.0299,0.0,0.0895,0.484,117.949,Darasal Various Artists Raabta
148,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Bole Chudiyan,63,https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9,0.59,0.875,5,-5.294,1,0.171,1.18e-05,0.164,0.736,96.915,Bole Chudiyan Jatin-Lalit Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
149,Salim–Sulaiman,Kurbaan (Original Motion Picture Soundtrack),Shukran Allah,63,https://i.scdn.co/image/ab67616d0000b273d976f08a9feba38efcafb5ff,0.432,0.695,1,-8.022,1,0.111,0.0014,0.274,0.513,116.153,Shukran Allah Salim–Sulaiman Kurbaan (Original Motion Picture Soundtrack)
150,Shankar-Ehsaan-Loy,Zindagi Na Milegi Dobara,Senorita,63,https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71,0.701,0.681,9,-6.442,1,0.0466,0.0,0.064,0.81,122.539,Senorita Shankar-Ehsaan-Loy Zindagi Na Milegi Dobara
151,Monty Sharma,Saawariya (Original Motion Picture Soundtrack),Jab Se Tere Naina,63,https://i.scdn.co/image/ab67616d0000b273bd848c36d02a36a7610d9641,0.599,0.653,0,-7.576,0,0.122,0.0,0.144,0.678,79.968,Jab Se Tere Naina Monty Sharma Saawariya (Original Motion Picture Soundtrack)
152,Pritam,Yeh Jawaani Hai Deewani,Kabira (Encore),63,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,0.611,0.612,2,-7.978,1,0.114,0.0,0.18,0.898,171.841,Kabira (Encore) Pritam Yeh Jawaani Hai Deewani
153,Various Artists,Rehnaa Hai Terre Dil Mein,Such Keh Raha Hai,63,https://i.scdn.co/image/ab67616d0000b273aedf6f748f73e59cf25bcf25,0.797,0.306,11,-14.176,0,0.0487,0.0,0.169,0.519,124.003,Such Keh Raha Hai Various Artists Rehnaa Hai Terre Dil Mein
154,Amaal Mallik,M.S.Dhoni - The Untold Story,Jab Tak,63,https://i.scdn.co/image/ab67616d0000b27302dde7bfff94df00c8b76eb4,0.299,0.447,3,-7.862,0,0.0383,0.000314,0.097,0.321,121.723,Jab Tak Amaal Mallik M.S.Dhoni - The Untold Story
155,Pritam,Desi Boyz,Jhak Maar Ke,63,https://i.scdn.co/image/ab67616d0000b273daa89593cc2cde9651665d03,0.8,0.904,3,-5.101,1,0.0628,3.34e-06,0.107,0.714,95.04,Jhak Maar Ke Pritam Desi Boyz
156,Pritam,Race 2 (Original Motion Picture Soundtrack),Lat Lag Gayee,63,https://i.scdn.co/image/ab67616d0000b2730df18810131fd56a87a5fc7a,0.79,0.892,10,-4.038,0,0.0404,1.18e-06,0.206,0.896,131.991,Lat Lag Gayee Pritam Race 2 (Original Motion Picture Soundtrack)
157,B Praak,Baarish Ki Jaaye,Baarish Ki Jaaye,63,https://i.scdn.co/image/ab67616d0000b27383639d5878043fcf03664335,0.524,0.765,3,-2.625,0,0.184,0.0,0.332,0.475,157.487,Baarish Ki Jaaye B Praak Baarish Ki Jaaye
158,Various Artists,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Samjhawan,63,https://i.scdn.co/image/ab67616d0000b273118f1494d8f5ebea6cd5e20d,0.65,0.482,4,-8.667,1,0.0281,0.0,0.0811,0.517,106.994,Samjhawan Various Artists Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack)
159,Various Artists,Badrinath Ki Dulhania,Humsafar,63,https://i.scdn.co/image/ab67616d0000b273fa3617fcd0dd0f23e7174219,0.319,0.552,7,-6.401,1,0.0307,0.0,0.144,0.221,93.991,Humsafar Various Artists Badrinath Ki Dulhania
160,Vishal-Shekhar,Chennai Express,Tera Rastaa Chhodoon Na,63,https://i.scdn.co/image/ab67616d0000b273dfd1ddf5b8431d6fc5210d6c,0.419,0.679,4,-8.052,1,0.0384,0.00229,0.119,0.368,169.911,Tera Rastaa Chhodoon Na Vishal-Shekhar Chennai Express
161,Mithoon,Aashiqui 2,Chahun Main Ya Naa,63,https://i.scdn.co/image/ab67616d0000b273348468c203278d510f0cbc5a,0.645,0.517,9,-6.708,0,0.0273,3.27e-06,0.0905,0.259,106.906,Chahun Main Ya Naa Mithoon Aashiqui 2
162,Pritam,"Tumse Bhi Zyada (From ""Tadap"")","Tumse Bhi Zyada (From ""Tadap"")",63,https://i.scdn.co/image/ab67616d0000b273188811ccc07858f25f389f8b,0.511,0.816,2,-5.375,0,0.0674,0.0,0.248,0.688,89.018,"Tumse Bhi Zyada (From ""Tadap"") Pritam Tumse Bhi Zyada (From ""Tadap"")"
